,Topic,Name,Representation
77,2,2_michael_vito_sheeran_hoffa,"['michael', 'vito', 'sheeran', 'hoffa', 'maría', 'tony', 'family', 'laszlo', 'bernardo', 'gangs']"
78,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
79,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
80,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
81,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
82,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
83,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
84,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
85,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
86,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
87,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
88,1,1_jones_van_ace_homer,"['jones', 'van', 'ace', 'homer', 'german', 'paul', 'stevens', 'valjean', 'darlington', 'charley']"
89,-1,-1_judah_maximus_marcellus_heathcliff,"['judah', 'maximus', 'marcellus', 'heathcliff', 'crew', 'shelby', 'roman', 'nero', 'governor', 'demetrius']"
90,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
91,0,0_lucy_higgins_eliza_scarlett,"['lucy', 'higgins', 'eliza', 'scarlett', 'henry', 'shakespeare', 'turing', 'irving', 'juror', 'family']"
