ANO;TITULO;VENCEDOR;LINK WIKIPEDIA;LINK ESPANHOL;LINK PORTUGUÊS
1938;Dead End (1937 film);Não;https://en.wikipedia.org/wiki/Dead_End_(1937_film);https://es.wikipedia.org/wiki/Calle_sin_salida_(pel%C3%ADcula_de_1937);https://pt.wikipedia.org/wiki/Dead_End
1938;The Good Earth (film);Não;https://en.wikipedia.org/wiki/The_Good_Earth_(film);https://es.wikipedia.org/wiki/La_buena_tierra_(pel%C3%ADcula_de_1937);https://pt.wikipedia.org/wiki/The_Good_Earth
1938;In Old Chicago;Não;https://en.wikipedia.org/wiki/In_Old_Chicago;https://es.wikipedia.org/wiki/In_Old_Chicago;https://pt.wikipedia.org/wiki/In_Old_Chicago
1938;Lost Horizon (1937 film);Não;https://en.wikipedia.org/wiki/Lost_Horizon_(1937_film);https://es.wikipedia.org/wiki/Horizontes_perdidos_(pel%C3%ADcula_de_1937);https://pt.wikipedia.org/wiki/Horizonte_Perdido_(1937)
1938;One Hundred Men and a Girl;Não;https://en.wikipedia.org/wiki/One_Hundred_Men_and_a_Girl;https://es.wikipedia.org/wiki/One_Hundred_Men_and_a_Girl;https://pt.wikipedia.org/wiki/One_Hundred_Men_and_a_Girl
1938;Stage Door;Não;https://en.wikipedia.org/wiki/Stage_Door;https://es.wikipedia.org/wiki/Damas_del_teatro;https://pt.wikipedia.org/wiki/Stage_Door
1938;A Star Is Born (1937 film);Não;https://en.wikipedia.org/wiki/A_Star_Is_Born_(1937_film);https://es.wikipedia.org/wiki/A_Star_Is_Born_(pel%C3%ADcula_de_1937);https://pt.wikipedia.org/wiki/A_Star_Is_Born_(1937)
1939;You Can't Take It with You (film);Sim;https://en.wikipedia.org/wiki/You_Can%27t_Take_It_with_You_(film);https://es.wikipedia.org/wiki/You_Can%27t_Take_It_With_You;https://pt.wikipedia.org/wiki/You_Can%27t_Take_It_with_You
1939;The Adventures of Robin Hood;Não;https://en.wikipedia.org/wiki/The_Adventures_of_Robin_Hood;https://es.wikipedia.org/wiki/The_Adventures_of_Robin_Hood;https://pt.wikipedia.org/wiki/The_Adventures_of_Robin_Hood
1939;Alexander's Ragtime Band (film);Não;https://en.wikipedia.org/wiki/Alexander%27s_Ragtime_Band_(film);https://es.wikipedia.org/wiki/Alexander%27s_Ragtime_Band_(pel%C3%ADcula);https://es.wikipedia.org/wiki/Alexander%27s_Ragtime_Band_(pel%C3%ADcula)
1939;Boys Town (film);Não;https://en.wikipedia.org/wiki/Boys_Town_(film);https://es.wikipedia.org/wiki/Forja_de_hombres;https://pt.wikipedia.org/wiki/Boys_Town_(filme)
1939;The Citadel (1938 film);Não;https://en.wikipedia.org/wiki/The_Citadel_(1938_film);https://es.wikipedia.org/wiki/La_ciudadela_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/The_Citadel_(filme)
1939;Four Daughters;Não;https://en.wikipedia.org/wiki/Four_Daughters;;https://pt.wikipedia.org/wiki/Four_Daughters
1939;La Grande Illusion;Não;https://en.wikipedia.org/wiki/La_Grande_Illusion;https://es.wikipedia.org/wiki/La_gran_ilusi%C3%B3n;https://pt.wikipedia.org/wiki/A_Grande_Ilus%C3%A3o_(1937)
1939;Jezebel (1938 film);Não;https://en.wikipedia.org/wiki/Jezebel_(1938_film);https://es.wikipedia.org/wiki/Jezabel_(pel%C3%ADcula_de_1938);https://pt.wikipedia.org/wiki/Jezebel
1939;Pygmalion (1938 film);Não;https://en.wikipedia.org/wiki/Pygmalion_(1938_film);https://es.wikipedia.org/wiki/Pigmali%C3%B3n_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/Pygmalion
1939;Test Pilot (film);Não;https://en.wikipedia.org/wiki/Test_Pilot_(film);https://es.wikipedia.org/wiki/Piloto_de_pruebas_(pel%C3%ADcula_de_1938);https://pt.wikipedia.org/wiki/Test_Pilot
1940;Gone with the Wind (film);Sim;https://en.wikipedia.org/wiki/Gone_with_the_Wind_(film);https://es.wikipedia.org/wiki/Lo_que_el_viento_se_llev%C3%B3_(pel%C3%ADcula);https://pt.wikipedia.org/wiki/Gone_with_the_Wind
1940;Dark Victory;Não;https://en.wikipedia.org/wiki/Dark_Victory;https://es.wikipedia.org/wiki/Amarga_victoria;https://pt.wikipedia.org/wiki/Dark_Victory
1940;Goodbye, Mr. Chips (1939 film);Não;https://en.wikipedia.org/wiki/Goodbye,_Mr._Chips_(1939_film);https://es.wikipedia.org/wiki/Adi%C3%B3s,_Mr._Chips_(pel%C3%ADcula_de_1939);https://pt.wikipedia.org/wiki/Adeus,_Mr._Chips
1940;Love Affair (1939 film);Não;https://en.wikipedia.org/wiki/Love_Affair_(1939_film);https://es.wikipedia.org/wiki/T%C3%BA_y_yo_(pel%C3%ADcula_de_1939);https://pt.wikipedia.org/wiki/Love_Affair_(1939)
1940;Mr. Smith Goes to Washington;Não;https://en.wikipedia.org/wiki/Mr._Smith_Goes_to_Washington;https://es.wikipedia.org/wiki/Mr._Smith_Goes_to_Washington;https://pt.wikipedia.org/wiki/Mr._Smith_Goes_to_Washington
1940;Ninotchka;Não;https://en.wikipedia.org/wiki/Ninotchka;https://es.wikipedia.org/wiki/Ninotchka;https://pt.wikipedia.org/wiki/Ninotchka
