NOME;LINKS;REFERENCES;CONTENT
Dog Day Afternoon;381;99;36595
Jaws (film);519;320;63535
Nashville (film);483;52;29762
Rocky;576;161;27354
All the President's Men (film);737;80;15514
Bound for Glory (1976 film);139;31;5835
Network (1976 film);351;71;23359
Taxi Driver;527;187;27095
Annie Hall;523;160;38963
The Goodbye Girl;274;26;10856
Julia (1977 film);250;20;9166
Star Wars (film);1259;587;103260
The Turning Point (1977 film);307;20;12356
The Deer Hunter;533;129;52451
Coming Home (1978 film);221;33;10441
Heaven Can Wait (1978 film);361;28;9488
Midnight Express (film);410;60;15648
An Unmarried Woman;110;31;5742
Kramer vs. Kramer;542;45;12547
All That Jazz (film);284;51;13925
Apocalypse Now;779;196;56623
Breaking Away;253;35;11741
Norma Rae;117;30;9614
Ordinary People;353;46;8267
Coal Miner's Daughter (film);395;34;12246
The Elephant Man (film);350;57;17050
Raging Bull;419;140;28869
Tess (1979 film);294;25;8270
Chariots of Fire (album);135;34;7644
Atlantic City (1980 film);325;36;9342
On Golden Pond (1981 film);224;44;14013
Raiders of the Lost Ark;904;466;72131
Reds (film);409;21;16274
Gandhi (film);693;99;16595
E.T. the Extra-Terrestrial;782;270;47651
Missing (1982 film);328;27;7640
Tootsie;337;52;11988
The Verdict;195;23;10911
Terms of Endearment;412;49;7565
The Big Chill (film);244;26;12959
The Dresser (1983 film);249;19;7063
The Right Stuff (film);395;65;25765
Tender Mercies;239;45;48942
Amadeus (film);578;77;17673
The Killing Fields (film);274;27;10796
A Passage to India (film);555;46;19044
Places in the Heart;167;44;8513
A Soldier's Story;295;14;9053
Out of Africa (film);632;36;16791
The Color Purple (1985 film);518;60;18731
Kiss of the Spider Woman (film);124;21;11885
Prizzi's Honor;309;30;6451
Witness (1985 film);217;33;17303
Platoon (film);387;91;18203
Children of a Lesser God (film);83;32;9187
Hannah and Her Sisters;441;58;15118
The Mission (1986 film);257;55;10797
A Room with a View (1985 film);466;37;14052
The Last Emperor;566;59;15828
Broadcast News (film);262;50;9747
Fatal Attraction;171;118;15688
Hope and Glory (film);338;36;7673
Moonstruck;159;66;7928
Rain Man;623;92;19541
The Accidental Tourist (film);168;25;5564
Dangerous Liaisons;316;78;12136
Mississippi Burning;418;197;34254
Working Girl;243;54;13554
Driving Miss Daisy;427;73;9347
Born on the Fourth of July (film);410;160;24396
Dead Poets Society;382;94;13967
Field of Dreams;739;99;19954
My Left Foot;235;48;5584
Dances with Wolves;401;56;19345
Awakenings;158;62;11266
Ghost (1990 film);303;92;13494
The Godfather Part III;441;86;25399
Goodfellas;559;135;27271
The Silence of the Lambs (film);701;139;21147
Beauty and the Beast (1991 film);1057;346;56317
Bugsy;311;36;10851
JFK (film);442;95;35882
The Prince of Tides;193;58;12656
Unforgiven;595;107;16467
The Crying Game;378;34;11962
A Few Good Men;258;71;12707
Howards End (film);422;52;12514
Scent of a Woman (1992 film);216;59;9629
Schindler's List;826;202;40175
The Fugitive (1993 film);219;112;23508
The Remains of the Day (film);267;41;10889
The Piano;635;117;10177
Forrest Gump;856;205;37779
Four Weddings and a Funeral;399;68;19984
Pulp Fiction (soundtrack);179;77;6060
Quiz Show (film);343;78;19328
The Shawshank Redemption;491;264;52455
Braveheart;438;147;31088
Apollo 13 (film);452;93;29616
Babe (film);394;60;11416
Il Postino: The Postman;238;24;9313
Sense and Sensibility (film);539;178;47939
The English Patient (film);486;90;11757
Fargo (1996 film);599;167;22148
Jerry Maguire;495;83;17143
Secrets & Lies (film);474;43;12111
Shine (film);497;51;10237
Titanic (1997 film);1009;427;81932
As Good as It Gets;427;63;7556
The Full Monty;468;63;16742
Good Will Hunting;286;138;21950
L.A. Confidential (film);800;105;24842
Shakespeare in Love;773;89;20621
Elizabeth (film);294;65;14796
Life Is Beautiful;723;100;15879
Saving Private Ryan;809;396;64422
The Thin Red Line (1998 film);480;112;25266
American Beauty (1999 film);698;153;74958
The Cider House Rules (film);147;44;7305
The Green Mile (film);310;59;11605
The Insider (film);378;35;13570
The Sixth Sense;271;79;11979
Gladiator (2000 film);741;213;69375
Chocolat (2000 film);164;45;10340
Crouching Tiger, Hidden Dragon;583;143;21699
Erin Brockovich (film);299;103;10850
Traffic (2000 film);563;105;23377
A Beautiful Mind (film);518;110;16850
Gosford Park;363;74;21373
In the Bedroom;245;51;13384
The Lord of the Rings: The Fellowship of the Ring;916;142;33585
Moulin Rouge!;808;160;25995
On the Line (2001 film);118;22;8452
Gangs of New York;380;107;23315
The Hours (film);476;42;13796
The Lord of the Rings: The Two Towers;819;116;36585
The Pianist (2002 film);613;46;13691
The Lord of the Rings: The Return of the King;1142;159;54714
Lost in Translation (film);442;138;40085
Master and Commander: The Far Side of the World;299;109;23644
Mystic River (film);523;77;8608
Seabiscuit (film);107;20;5846
Million Dollar Baby;507;47;14636
The Aviator (2004 film);516;69;23124
Finding Neverland (film);361;33;10541
Ray (film);285;18;13278
Crash (2004 film);479;132;22369
Brokeback Mountain;784;312;41120
Capote (film);178;39;8139
Good Night, and Good Luck;270;31;16166
Munich (2005 film);332;67;18291
The Departed;562;94;18378
Babel (film);349;59;15477
Letters from Iwo Jima;618;71;14833
Little Miss Sunshine;415;169;25589
The Queen (2006 film);1051;107;12643
No Country for Old Men;700;183;54266
Atonement (2007 film);369;128;24314
Juno (film);503;237;34869
Michael Clayton;141;32;8492
There Will Be Blood;420;198;28170
Slumdog Millionaire;855;202;32448
The Curious Case of Benjamin Button (film);330;68;17308
Frost/Nixon (film);475;32;12368
Milk (2008 American film);440;68;20894
The Reader (2008 film);182;47;15769
The Hurt Locker;622;147;39394
Avatar (2009 film);829;564;71685
The Blind Side (film);368;63;15950
District 9;2017;190;31412
An Education;149;45;10428
Inglourious Basterds;528;302;25878
A Serious Man;300;94;13199
Up (2009 film);640;290;33052
Up in the Air (2009 film);405;314;31396
The King's Speech;744;201;37691
Black Swan (film);303;118;26134
The Fighter;196;57;17109
Inception;525;339;51079
The Kids Are All Right (film);285;55;10373
127 Hours;206;85;12038
The Social Network;887;253;32692
Toy Story 3;1050;285;27748
True Grit (2010 film);253;63;17979
Winter's Bone;196;28;8289
The Artist (film);686;80;17621
The Descendants;426;71;7199
Extremely Loud & Incredibly Close (film);128;64;13061
The Help (film);317;91;21820
Hugo (film);781;105;15309
Midnight in Paris;611;114;18456
Moneyball (film);962;115;17048
The Tree of Life (film);431;228;28129
War Horse (film);414;331;31516
Les Misérables (2012 film);559;165;38572
Argo (2012 film);1611;123;25359
Amour (2012 film);909;119;11091
Beasts of the Southern Wild;406;49;13247
Django Unchained;458;256;34180
Life of Pi (film);255;215;26234
Lincoln (film);607;124;26398
Silver Linings Playbook;465;174;20197
Zero Dark Thirty;536;192;31853
12 Years a Slave (film);916;142;29384
American Hustle;387;51;14551
Captain Phillips (film);279;84;15037
Dallas Buyers Club;228;149;36325
Gravity (2013 film);631;267;36234
Her (film);433;151;19382
Nebraska (film);185;44;13029
Philomena (film);230;45;11826
The Wolf of Wall Street (2013 film);390;234;25999
Birdman (film);591;228;48242
American Sniper;312;158;25050
Boyhood (2014 film);742;198;20249
The Grand Budapest Hotel;590;289;45742
The Imitation Game;346;142;36692
