NOME;LINKS;REFERENCES;CONTENT
A Testemunha;76;34;2649
Platoon;288;61;10518
Children of a Lesser God;25;2;2435
Hannah and Her Sisters;205;43;1179
A Missão;180;52;1106
A Room with a View;199;44;2944
O Último Imperador;438;45;1866
Broadcast News;82;47;3160
Atração Fatal;173;78;14294
Esperança e Glória;181;37;1227
Moonstruck;123;54;3035
Rain Man;361;48;2964
O Turista Acidental;87;38;2547
Ligações Perigosas (filme);171;8;5789
Mississípi em Chamas;77;41;404
Working Girl;217;55;10152
Driving Miss Daisy;306;63;9328
Born on the Fourth of July;154;42;601
Dead Poets Society;188;15;4300
Field of Dreams;36;7;3200
My Left Foot;74;37;831
Dances with Wolves;194;45;2986
Awakenings;82;34;495
Ghost (filme);176;76;12340
The Godfather Part III;140;44;5813
Goodfellas;205;54;787
O Silêncio dos Inocentes;357;97;13863
Beauty and the Beast (filme de 1991);399;20;16060
Bugsy;112;37;1733
JFK (filme);140;40;3178
O Príncipe das Marés;55;30;1360
Unforgiven;335;68;14720
The Crying Game;96;32;1768
A Few Good Men;91;40;1572
Howards End (filme);127;1;4339
Perfume de Mulher (1992);152;50;5798
A Lista de Schindler;485;157;27764
O Fugitivo (1993);100;46;9455
The Remains of the Day (filme);103;42;2123
O Piano;239;48;3178
Em Nome do Pai;248;41;706
Forrest Gump;393;145;34213
Quatro Casamentos e Um Funeral;108;43;1569
Pulp Fiction;451;135;62279
Quiz Show;26;0;907
The Shawshank Redemption;268;161;52729
Braveheart;207;21;9153
Apollo 13 (filme);148;43;8053
Babe (1995);443;233;53513
Il postino;110;38;2013
Sense and Sensibility (filme);314;52;1381
O Paciente Inglês (filme);200;50;3262
Fargo (filme);159;45;2424
Jerry Maguire;189;35;10890
Segredos e Mentiras;29;2;1370
Shine (filme);81;40;683
Titanic (filme de 1997);715;124;57581
Melhor É Impossível;216;50;3673
Ou Tudo ou Nada;138;41;1273
Good Will Hunting;110;49;1372
L.A. Confidential;294;69;19218
Shakespeare in Love;296;40;1388
Elizabeth (filme);78;36;1840
A Vida É Bela;373;109;9043
O Resgate do Soldado Ryan;340;86;19504
The Thin Red Line (1998);327;58;18861
Beleza Americana;459;78;74559
The Cider House Rules;90;45;2593
À Espera de um Milagre;140;52;9447
The Insider;81;37;557
O Sexto Sentido;157;57;3667
Gladiador (filme);402;113;22627
Chocolate (filme);95;43;571
O Tigre e o Dragão (filme);334;13;2873
Erin Brockovich (filme);141;52;4534
Traffic (filme);125;6;2328
Uma Mente Brilhante;246;66;4101
Gosford Park;340;9;2003
In the Bedroom;45;36;1898
The Lord of the Rings: The Fellowship of the Ring;325;50;15023
Moulin Rouge!;289;46;5355
Chicago (filme de 2002);324;43;8888
Gangs of New York;144;47;1549
As Horas (filme);141;48;3534
O Senhor dos Anéis: As Duas Torres;252;19;6616
O Pianista;280;50;7859
The Lord of the Rings: The Return of the King;412;13;7203
Lost in Translation;297;48;2443
Master and Commander: The Far Side of the World;128;43;5679
Mystic River;157;49;318
Seabiscuit;96;38;3627
Million Dollar Baby;259;44;2402
O Aviador;295;44;512
Finding Neverland;117;44;3709
Ray (filme);96;39;1785
Crash (2004);188;44;3301
O Segredo de Brokeback Mountain;367;62;17391
Capote;61;42;2160
Boa Noite, e Boa Sorte;80;46;2453
Munique (filme);201;24;11713
The Departed;239;51;7462
Babel (filme);135;46;2335
Cartas de Iwo Jima;185;46;5127
Little Miss Sunshine;244;54;6805
A Rainha;217;38;2778
No Country for Old Men (filme);333;72;15022
Atonement;186;41;2216
Juno (filme);166;40;583
Michael Clayton;74;40;1458
There Will Be Blood;89;70;4453
Slumdog Millionaire;287;55;5813
The Curious Case of Benjamin Button;174;65;15044
Frost/Nixon;132;47;5950
Milk (filme);150;21;4225
O Leitor;96;17;6390
The Hurt Locker;215;47;2244
Avatar (filme);231;94;21558
Um Sonho Possível;96;23;8147
Distrito 9;96;43;7016
An Education;68;39;2109
Inglourious Basterds;383;68;7128
Um Homem Sério;102;43;1674
Up (filme);474;125;24780
Up in the Air (2009);95;33;1145
O Discurso do Rei;409;67;17958
Cisne Negro;397;321;93645
The Fighter;98;55;8404
A Origem;213;34;21179
The Kids Are All Right;188;42;3553
127 Horas;117;45;5374
A Rede Social;301;63;10576
Toy Story 3;633;466;65721
True Grit (2010);116;41;3022
Winter's Bone;74;46;5253
O Artista;429;51;4447
Os Descendentes;73;4;1872
Extremely Loud and Incredibly Close;84;60;2753
The Help (filme);231;72;17244
Hugo (filme);177;63;8842
Meia-Noite em Paris;112;47;2726
Moneyball;112;51;6710
A Árvore da Vida (2011);208;101;14925
Cavalo de Guerra;132;47;2061
Os Miseráveis (2012);205;66;5983
Argo (filme);410;88;17407
Amor (2012);431;42;1041
Beasts of the Southern Wild;69;34;1069
Django Unchained;202;123;19594
Life of Pi (filme);112;87;2632
Lincoln (filme);345;120;27391
Silver Linings Playbook;250;113;11458
Zero Dark Thirty;83;16;3181
12 Years a Slave;481;110;13646
American Hustle;288;51;12631
Capitão Phillips;110;33;11391
Dallas Buyers Club;60;38;1665
Gravidade (filme);262;63;8994
Her;120;59;7876
Nebraska (filme);43;4;2132
Philomena;59;5;1332
O Lobo de Wall Street;225;98;11907
Birdman ou (A Inesperada Virtude da Ignorância);648;41;6325
Sniper Americano;83;58;3653
Boyhood;244;25;3393
The Grand Budapest Hotel;316;51;7574
O Jogo da Imitação;84;59;3655
Selma (filme);144;62;2421
A Teoria de Tudo;95;32;1358
Whiplash (filme);111;47;2022
Spotlight (filme);374;53;4853
The Big Short;123;53;1263
Bridge of Spies;156;43;2540
Brooklyn (filme);60;39;1627
Mad Max: Estrada da Fúria;205;68;9405
Perdido em Marte;296;194;23871
The Revenant;212;67;8184
Room (filme);46;12;1126
Moonlight (filme);541;69;12209
Arrival (filme);98;49;2294
Fences (filme);41;8;1882
Hacksaw Ridge;195;196;24614
Hell or High Water;48;11;1308
Hidden Figures;265;50;1321
La La Land (filme);619;139;34599
Lion (filme);57;41;2703
Manchester by the Sea;129;41;1016
A Forma da Água;293;13;3912
Call Me by Your Name;70;21;9343
Darkest Hour (filme);89;19;6414
Dunkirk (filme);476;351;83055
Get Out;215;51;20453
Lady Bird;156;32;440
Phantom Thread;35;13;1811
The Post;90;39;2328
Three Billboards Outside Ebbing, Missouri;380;27;2529
Green Book;259;54;11055
Black Panther (filme);665;173;39059
BlacKkKlansman;199;75;7050
Bohemian Rhapsody (filme);435;145;32384
A Favorita (filme);342;34;2329
Roma (filme de 2018);474;58;12006
A Star Is Born (2018);251;93;20613
Vice (filme);112;49;4006
Gisaengchung;644;260;34693
Ford v Ferrari;326;75;8965
O Irlandês;360;130;9462
Jojo Rabbit;73;38;3627
Joker (filme);553;246;37456
Little Women (2019);194;228;18591
Marriage Story;85;14;3453
1917 (filme);261;147;17874
Era uma Vez em... Hollywood;375;65;12984
Nomadland;300;36;2458
The Father;67;36;3819
Judas and the Black Messiah;52;26;1893
Mank (filme);65;18;4569
Minari;106;31;1384
Promising Young Woman;59;28;2401
Sound of Metal;51;24;1309
Os 7 de Chicago;385;23;2853
CODA (filme de 2021);337;39;12817
Belfast (filme);67;41;4569
Don't Look Up;108;51;10554
Doraibu mai kā;173;12;2006
Duna (2021);259;96;17637
King Richard;46;24;2210
Licorice Pizza;67;35;1774
Nightmare Alley;88;27;2491
The Power of the Dog;155;31;3615
West Side Story (2021);206;55;4422
Everything Everywhere All at Once;270;78;20626
Im Westen nichts Neues (filme);616;73;6413
Avatar: O Caminho da Água;259;56;28746
The Banshees of Inisherin;64;33;6642
Elvis (filme de 2022);110;44;4870
Os Fabelmans;127;45;6695
Tár;105;34;3351
Top Gun: Maverick;131;81;15708
Triângulo da Tristeza;207;60;6266
Women Talking;179;30;2878
