FILME; COMUNIDADE
The Lord of the Rings: The Two Towers;11
The Lost Weekend;11
The Shape of Water;11
The Theory of Everything (2014 film);11
The Tree of Life (film);11
William Shakespeare's Julius Caesar;11
Zero Dark Thirty;11
A Serious Man;12
The Blind Side (film);12
The Kids Are All Right (film);12
Crossfire (film);13
Gentleman's Agreement;13
In Old Arizona;14
The Patriot (1928 film);14
The Love Parade;15
The Smiling Lieutenant;15
Kramer vs. Kramer;16
Marriage Story;16
Amour (2012 film);17
The Father (2020 film);17
