ANO;TITULO;VENCEDOR;LINK_EN;LINK_ES;LINK_PT;PAGEID_EN;TITLE_EN;TITLE_ES;PAGEID_ES;TITLE_PT;PAGEID_PT
1934;She Done Him Wrong;Não;https://en.wikipedia.org/wiki/She_Done_Him_Wrong;https://es.wikipedia.org/wiki/She_Done_Him_Wrong;https://pt.wikipedia.org/wiki/Uma_Loira_para_Três;60155;She Done Him Wrong;She Done Him Wrong;9892535.0;Uma Loira para Três;3182494
1934;State Fair (1933 film);Não;https://en.wikipedia.org/wiki/State_Fair_(1933_film);https://es.wikipedia.org/wiki/La_feria_de_la_vida;https://pt.wikipedia.org/wiki/State_Fair_(1933);60173;State Fair (1933 film);La feria de la vida;9795382.0;State Fair (1933);1910675
1935;It Happened One Night;Sim;https://en.wikipedia.org/wiki/It_Happened_One_Night;https://es.wikipedia.org/wiki/It_Happened_One_Night;https://pt.wikipedia.org/wiki/It_Happened_One_Night;44696;It Happened One Night;It Happened One Night;27214.0;It Happened One Night;528483
1935;The Barretts of Wimpole Street (1934 film);Não;https://en.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street_(1934_film);https://es.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street;https://pt.wikipedia.org/wiki/The_Barretts_of_Wimpole_Street;61160;The Barretts of Wimpole Street (1934 film);The Barretts of Wimpole Street;9419054.0;The Barretts of Wimpole Street;4243072
1935;Cleopatra (1934 film);Não;https://en.wikipedia.org/wiki/Cleopatra_(1934_film);https://es.wikipedia.org/wiki/Cleopatra_(película_de_1934);https://pt.wikipedia.org/wiki/Cleópatra_(1934);6306820;Cleopatra (1934 film);Cleopatra (película de 1934);2989503.0;Cleópatra (1934);1993325
1935;Flirtation Walk;Não;https://en.wikipedia.org/wiki/Flirtation_Walk;https://es.wikipedia.org/wiki/Flirtation_Walk;https://pt.wikipedia.org/wiki/Flirtation_Walk;61168;Flirtation Walk;Flirtation Walk;9160921.0;Flirtation Walk;4243668
1935;The Gay Divorcee;Não;https://en.wikipedia.org/wiki/The_Gay_Divorcee;https://es.wikipedia.org/wiki/La_alegre_divorciada;https://pt.wikipedia.org/wiki/A_Alegre_Divorciada;61169;The Gay Divorcee;La alegre divorciada;2111760.0;A Alegre Divorciada;514130
1935;Here Comes the Navy;Não;https://en.wikipedia.org/wiki/Here_Comes_the_Navy;;https://pt.wikipedia.org/wiki/Here_Comes_the_Navy;61170;Here Comes the Navy;;;Here Comes the Navy;4245523
1935;The House of Rothschild;Não;https://en.wikipedia.org/wiki/The_House_of_Rothschild;;https://pt.wikipedia.org/wiki/The_House_of_Rothschild;61171;The House of Rothschild;;;The House of Rothschild;4246162
1935;Imitation of Life;Não;https://en.wikipedia.org/wiki/Imitation_of_Life_(1934_film);https://es.wikipedia.org/wiki/Imitación_de_la_vida;https://pt.wikipedia.org/wiki/Imitation_of_Life_(1934);4731866;Imitation of Life (1934 film);Imitación de la vida;9871542.0;Imitation of Life (1934);4247078
1935;One Night of Love;Não;https://en.wikipedia.org/wiki/One_Night_of_Love;https://es.wikipedia.org/wiki/Una_noche_de_amor;https://pt.wikipedia.org/wiki/One_Night_of_Love;61173;One Night of Love;Una noche de amor;4272446.0;One Night of Love;4248250
1935;The Thin Man;Não;https://en.wikipedia.org/wiki/The_Thin_Man_(film);https://es.wikipedia.org/wiki/La_cena_de_los_acusados;https://pt.wikipedia.org/wiki/The_Thin_Man;61175;The Thin Man (film);La cena de los acusados;1294161.0;The Thin Man;3012058
1935;Viva Villa!;Não;https://en.wikipedia.org/wiki/Viva_Villa!;https://es.wikipedia.org/wiki/Viva_Villa!;https://pt.wikipedia.org/wiki/Viva_Villa!;61176;Viva Villa!;Viva Villa!;9160906.0;Viva Villa!;4251435
1935;The White Parade;Não;https://en.wikipedia.org/wiki/The_White_Parade;;https://pt.wikipedia.org/wiki/The_White_Parade;61177;The White Parade;;;The White Parade;4252569
1936;Mutiny on the Bounty (1935 film);Sim;https://en.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935_film);https://es.wikipedia.org/wiki/Mutiny_on_the_Bounty_(película_de_1935);https://pt.wikipedia.org/wiki/Mutiny_on_the_Bounty_(1935);3992212;Mutiny on the Bounty (1935 film);Mutiny on the Bounty (película de 1935);28161.0;Mutiny on the Bounty (1935);639445
1936;Broadway Melody of 1936;Não;https://en.wikipedia.org/wiki/Broadway_Melody_of_1936;https://es.wikipedia.org/wiki/Broadway_Melody_of_1936;https://pt.wikipedia.org/wiki/Broadway_Melody_of_1936;61480;Broadway Melody of 1936;Broadway Melody of 1936;9419067.0;Broadway Melody of 1936;2484676
1936;Captain Blood (1935 film);Não;https://en.wikipedia.org/wiki/Captain_Blood_(1935_film);https://es.wikipedia.org/wiki/El_capitán_Blood_(película_de_1935);https://pt.wikipedia.org/wiki/O_Capitão_Blood;61481;Captain Blood (1935 film);El capitán Blood (película de 1935);2638723.0;O Capitão Blood;2277970
1936;David Copperfield (1935 film);Não;https://en.wikipedia.org/wiki/David_Copperfield_(1935_film);https://es.wikipedia.org/wiki/David_Copperfield_(película_de_1935);https://pt.wikipedia.org/wiki/David_Copperfield_(1935);61498;David Copperfield (1935 film);David Copperfield (película de 1935);258334.0;David Copperfield (1935);1643152
1936;Alice Adams (1935 film);Não;https://en.wikipedia.org/wiki/Alice_Adams_(1935_film);https://es.wikipedia.org/wiki/Alice_Adams;https://pt.wikipedia.org/wiki/Alice_Adams;7301880;Alice Adams (1935 film);Alice Adams;8173247.0;Alice Adams;1051104
1936;The Informer (film);Não;https://en.wikipedia.org/wiki/The_Informer_(1935_film);https://es.wikipedia.org/wiki/El_delator;https://pt.wikipedia.org/wiki/The_Informer;61483;The Informer (1935 film);El delator;1058721.0;The Informer;2783435
